date,Open,High,Low,Close,Volume,daily_sentiment,daily_sentiment_sum,daily_news_count,daily_pos,daily_neg,daily_neu,quarterly_sentiment,annual_sentiment,log_return,close_next,log_return_next,direction_next,quarterly_date,annual_date
2024-09-18,102.44105991805878,103.63790345699648,102.44105991805878,103.0705108642578,904474,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0022389045401549623,106.09364318847656,0.028908804911998764,1,2024-06-30,2023-12-31
2024-09-19,103.4605834859622,108.24796414836533,102.848867395818,106.09364318847656,3631265,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.028908804911998764,113.34563446044922,0.06611973198193333,1,2024-06-30,2023-12-31
2024-09-20,105.72129112809118,115.22512651549116,105.72129112809118,113.34563446044922,16166846,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.06611973198193333,113.75344848632812,0.0035915113258200293,1,2024-06-30,2023-12-31
2024-09-23,113.47861961887158,114.70206531550332,112.06900563744276,113.75344848632812,6578961,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0035915113258200293,113.85983276367188,0.0009347809978939026,1,2024-06-30,2023-12-31
2024-09-24,114.32084345334984,114.7197890283166,111.95375194566068,113.85983276367188,4258144,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0009347809978939026,114.7641143798828,0.007910687775765979,1,2024-06-30,2023-12-31
2024-09-25,114.35630817510196,115.42902815210428,112.63639571985628,114.7641143798828,3701632,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.007910687775765979,114.1878662109375,-0.005033801273623517,0,2024-06-30,2023-12-31
2024-09-26,115.25172558774472,117.37944434135918,113.61159946637522,114.1878662109375,4352809,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.005033801273623517,113.3544921875,-0.007325033946218973,0,2024-06-30,2023-12-31
2024-09-27,113.47860887484867,114.9414136562943,113.12398686934436,113.3544921875,2536054,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.007325033946218973,112.62753295898438,-0.00643380141120975,0,2024-06-30,2023-12-31
2024-09-30,113.92189767735265,114.2676523120745,109.5777928333834,112.62753295898438,2427707,0.0,0.0,0,0,0,0,0.149651,-0.715838,-0.00643380141120975,110.7657699584961,-0.016668414687280197,0,2024-09-30,2023-12-31
2024-10-01,112.60093168036803,114.24991159574562,110.02106302407635,110.7657699584961,1360816,0.0,0.0,0,0,0,0,0.149651,-0.715838,-0.016668414687280197,112.25518035888672,0.013356884557824245,1,2024-09-30,2023-12-31
2024-10-02,110.59732622023763,112.59206757491124,109.13451454070642,112.25518035888672,4590754,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.013356884557824245,113.64706420898438,0.012323042355785851,1,2024-09-30,2023-12-31
2024-10-03,111.7498441184104,115.07441298233948,111.3242963277323,113.64706420898438,7029524,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.012323042355785851,114.7552490234375,0.009703872914318623,1,2024-09-30,2023-12-31
2024-10-04,113.71798520466508,116.3599053634454,113.12399045199624,114.7552490234375,2129048,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.009703872914318623,114.4538345336914,-0.002630041172991149,0,2024-09-30,2023-12-31
2024-10-07,114.36517394900515,115.08327869076363,113.70026014697606,114.4538345336914,2489854,0.0,0.0,0,0,0,0,0.149651,-0.715838,-0.002630041172991149,122.12249755859376,0.06485306948777758,1,2024-09-30,2023-12-31
2024-10-08,114.14353220086348,124.64917533295718,114.14353220086348,122.12249755859376,10525888,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.06485306948777758,122.12249755859376,0.0,0,2024-09-30,2023-12-31
2024-10-09,122.12249755859376,122.12249755859376,122.12249755859376,122.12249755859376,0,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.0,122.02499389648438,-0.0007987275782515013,0,2024-09-30,2023-12-31
2024-10-10,124.9506176543657,124.9506176543657,121.15617688688091,122.02499389648438,2862475,0.0,0.0,0,0,0,0,0.149651,-0.715838,-0.0007987275782515013,120.61537170410156,-0.011619155350908628,0,2024-09-30,2023-12-31
